VIN (1-10);County;City;State;Postal Code;Model Year;Make;Model;Electric Vehicle Type;Clean Alternative Fuel Vehicle (CAFV) Eligibility;Electric Range;Base MSRP;Legislative District;DOL Vehicle ID;Vehicle Location;Electric Utility;2020 Census Tract
KNDJP3AE5G;King;Federal Way;WA;98023;2016;KIA;SOUL;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;93;31950;30;201400;POINT (-122.363215 47.3084);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033030308
5YJ3E1EB1M;Snohomish;Bothell;WA;98012;2021;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;0;44;168793362;POINT (-122.1876761 47.820517);PUGET SOUND ENERGY INC;53061052007
1N4CZ1CV3P;King;Bellevue;WA;98008;2023;NISSAN;LEAF;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;0;48;224597971;POINT (-122.11832 47.6245);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033023300
5YJ3E1EB2J;King;Sammamish;WA;98074;2018;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;215;0;45;127454064;POINT (-122.0313266 47.6285782);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033032318
5YJSA1E17G;King;Sammamish;WA;98074;2016;TESLA;MODEL S;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;210;0;45;349819151;POINT (-122.0313266 47.6285782);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033032225
WA1E2AFY0M;King;Normandy Park;WA;98166;2021;AUDI;Q5 E;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;18;0;33;149132476;POINT (-122.34102 47.46593);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033028600
JTJAAAAB2P;Snohomish;Lynnwood;WA;98036;2023;LEXUS;RZ 450E;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;0;1;251347715;POINT (-122.3164188 47.819664);PUGET SOUND ENERGY INC;53061051916
YV4BR00L0M;King;Sammamish;WA;98075;2021;VOLVO;XC90;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;18;0;41;166737420;POINT (-122.03309 47.58153);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033032217
5YJYGDEE5M;King;Newcastle;WA;98056;2021;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;0;41;138993396;POINT (-122.180505 47.500055);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033024703
KNDC3DLC6N;King;Shoreline;WA;98155;2022;KIA;EV6;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;0;32;210001431;POINT (-122.3175 47.7578146);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033020500
7SAYGDEE5P;King;Bellevue;WA;98006;2023;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;0;41;230781862;POINT (-122.16937 47.571015);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033024901
5YJSA1E20F;King;Bothell;WA;98011;2015;TESLA;MODEL S;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;208;0;1;171724325;POINT (-122.20578 47.762405);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033021905
7FCTGAAA6N;King;Bothell;WA;98011;2022;RIVIAN;R1T;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;0;1;224709614;POINT (-122.20578 47.762405);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033021804
7SAXCBE69P;King;Bellevue;WA;98004;2023;TESLA;MODEL X;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;0;41;245596571;POINT (-122.201905 47.61385);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033023808
5YJ3E1EBXL;Clark;Washougal;WA;98671;2020;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;322;0;18;8041029;POINT (-122.3538285 45.5838634);BONNEVILLE POWER ADMINISTRATION||PACIFICORP||PUD NO 1 OF CLARK COUNTY - (WA);53011040510
7SAYGDEF6N;King;Seattle;WA;98125;2022;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;0;46;208679838;POINT (-122.296385 47.71558);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033000700
1FADP5FU9H;Jefferson;Port Townsend;WA;98368;2017;FORD;C-MAX;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;20;0;24;144644034;POINT (-122.7644197 48.1195874);BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY;53031950603
WBAJB1C03L;King;Redmond;WA;98052;2020;BMW;530E;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;18;0;45;103428825;POINT (-122.12302 47.67668);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033032323
1N4AZ0CP7G;King;Sammamish;WA;98075;2016;NISSAN;LEAF;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;84;0;41;348942758;POINT (-122.03309 47.58153);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033032215
WA1E2AFYXL;King;Redmond;WA;98052;2020;AUDI;Q5 E;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;20;0;48;107148870;POINT (-122.12302 47.67668);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033022606
7SAYGDEE1P;King;Newcastle;WA;98059;2023;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;0;41;224492054;POINT (-122.15734 47.487175);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033025005
7SAYGDEE1N;King;Seatac;WA;98148;2022;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;0;33;198877024;POINT (-122.32863 47.46233);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033028500
5YJYGDEE7M;King;Bellevue;WA;98006;2021;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;0;41;180380042;POINT (-122.16937 47.571015);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033024901
1G1RD6E45E;King;Bothell;WA;98011;2014;CHEVROLET;VOLT;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;38;0;1;206817971;POINT (-122.20578 47.762405);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033021804
